Changes to be reflected on webiste,,Check Status,State Name,State Shortname,Entity,File Name,Google drive link,Document heirarchy,Parent file name,Source Link,Title length,ID as per document,Document title,Document short name,Type of Document/ Document Type-detail,Date of issuance,Year of Issuance,Petitioner,Respondents,Start year of consideration,End year of consideration,Document type,Sector,Sub-sector,Status,Issuing authority,Type of issuing authority,Additional tags,About document,Document format,Summary available on indiaredata.org,Sharmila's Comment,Amruta's Comments
,,,Karnataka,KA,,KA-KERC-RE-Green_OA-Regulation-2023-Principal-Draft,https://drive.google.com/file/d/1HsPbdrkzuXwRkQlLb9Z3TSjCFV27HNR1/view?usp=drive_link,Child,KA-KERC-Green_OA-Regulation-2022-Principal,https://kerc.karnataka.gov.in/uploads/media_to_upload1660888724.pdf,119,Notification No. KERC-1-Con-2022-23/644,"Draft Karnataka Electricity Regulatory Commission (Terms and Conditions for Green Energy Open Access) Regulations, 2022",KERC Green OA Regulations 2022-Principal Draft ,,11 Aug 2022,2022,,,,,Regulation,RE,Green OA,Draft,KERC,Commission,,,pdf,,,
,,,Karnataka,KA,,KA-KERC-RE-DSM-Regulation-2015-1st_Amendment-2022-Draft,https://drive.google.com/file/d/1_dWxt5MCpXDy0GEe8XV3p1y5JSNpF7M_/view?usp=drive_link,Child,KA-KERC-RE-DSM-Regulation-2015-Principal,https://kerc.karnataka.gov.in/uploads/media_to_upload1660888143.pdf,190,File No. CT/01/15(Vol-lll)/635,"Draft Karnataka Electricity Regulatory Commission (Forecasting, Scheduling, Deviation settlement and related matters for Wind and Solar Generation Sources) (First Amendment)Regulations, 2022",KERC RE Regulations 2022-1st Amendment Draft ,,8 Aug 2022,2022,,,,,Regulation,RE,DSM/ F&S,Draft,KERC,Commission,,,pdf,,,
,,Checked 20Nov2024/Sharmila/Final/RPO,Karnataka,KA,,KA-KERC-RPO-Regulation-2004-Principal-Repealed,https://drive.google.com/file/d/1TYNzbBxJpC-DaUR_vhkIdDzqAu3J9Xh8/view?usp=drive_link,Parent,KA-KERC-RPO-Regulation-2004-Principal-Repealed,https://kerc.karnataka.gov.in/storage/pdf-files/Repealed%20Regulations/KERC(NCE)Regulations-2004-final.pdf,136,Notification No. S/03/1,"Repealed Karnataka Electricity Regulatory Commission(Power Procurement from Renewable Sources by Distribution Licensee)Regulations, 2004",KERC RPO Regulations 2004-Principal Repealed,,27 Sep 2004,2004,,,21 Oct 2004,16 March 2011,Regulation,RPO,RPO Targets,Repealed,KERC,Commission,,,pdf,,,
,,,Karnataka,KA,,KA-KERC-Solar-Generic_Tariff-Discussion_Paper-2013,https://drive.google.com/file/d/1p92Svs41l1sy03IBeadYQG_uRyQWFl5e/view?usp=drive_link,Parent,KA-KERC-Solar-Generic_Tariff-Discussion_Paper-2013,https://kerc.karnataka.gov.in/storage/repo/SOLARLETTER-20.06.2013.pdf,156,Notification No. S/03/2,Discussion paper on Determination of Tariff for gird interactive solar power plants including rooftop and small solar Photovoltaic power plants in Karnataka,KERC Solar Tariff Discussion Paper 2013,,21 Jun 2013,2013,,,,,Discussion Paper,Solar,Generic Tariff,Draft,KERC,Commission,,,pdf,,,
,,,Karnataka,KA,,KA-KERC-Biomass-Generic_Tariff-Discussion_Paper-2018,https://drive.google.com/file/d/1UnCcC1LAoSJul6im-AizloLI9rBiRY3f/view?usp=drive_link,Parent,KA-KERC-Biomass-Generic_Tariff-Discussion_Paper-2018,https://kerc.karnataka.gov.in/storage/repo/RevisionOfFuelCostForExistingBiomassPowerGeneration.pdf,98,Notification No. KERC/M/14/14,Discussion Paper on Revision of Fuel Cost for Existing Biomass Power Generation Plant in Karnataka,KERC Biomass Tariff Discussion Paper 2014,,23 Jul 2014,2014,,,,,Discussion Paper,Biomass,Generic Tariff,Draft,KERC,Commission,,,pdf,,,
,,,Karnataka,KA,,KA-KERC-RE-Banking-Discussion_Paper-2014,https://drive.google.com/file/d/1FUQerIeW1Va3_1NfeWmOD0VNKdESrHLC/view?usp=drive_link,Parent,KA-KERC-RE-Banking-Discussion_Paper-2019,https://kerc.karnataka.gov.in/storage/repo/Discussion_paper-WB_Charges_June-2014.pdf,82,Notification No.B/01/1,"Discussion Paper on ""Wheeling and Banking Charges for Renewable Energy Generators""",KERC RE Banking Discussion Paper 2014,,11 Jun 2014,2014,,,,,Discussion Paper,RE,Banking,Draft,KERC,Commission,,,pdf,,,
,,,Karnataka,KA,,KA-KERC-Solar-Generic_Tariff-Discussion_Paper-2015,https://drive.google.com/file/d/1UtKueo7sO3kaSnG7A3WY3vNvQW4sv8y0/view?usp=drive_link,Parent,KA-KERC-Solar-Generic_Tariff-Discussion_Paper-2015,https://kerc.karnataka.gov.in/storage/repo/Discussion_paper-16.11.2015.pdf,138,,Discussion paper for determination of tariff for Grid-Interactive Rooftop and Small kilowatt scale solar photovoltaic plants in Karnataka.,KERC Solar Tariff Discussion Paper 2015,,16 Nov 2015,2015,,,1 April 2013,31 Mar 2018,Discussion Paper,Solar,Generic Tariff,Draft,KERC,Commission,,,pdf,,,
,,,Karnataka,KA,,KA-KERC-Solar-Evacuation-Discussion_Paper-2022,https://drive.google.com/file/d/1Cg_bBJs3sED-eZPf2HMSnZPAktwmPyIT/view?usp=drive_link,Parent,KA-KERC-Solar-Evacuation-Discussion_Paper-2021,https://kerc.karnataka.gov.in/uploads/media_to_upload1667799645.pdf,122,,Discussion Paper for Evacuation/Utilization of Solar Energy Generation at LT/HT Voltage and connect to their LT/HT system ,KERC Solar Evacuation Discussion Paper 2022,,7 Nov 2022,2022,,,5 Dec 2022,,Discussion Paper,Solar,Evacuation,Draft,KERC,Commission,,,pdf,,,
,,,Karnataka,KA,,KA-KERC-Wind-Generic_Tariff-Discussion_Paper-2022,https://drive.google.com/file/d/1IpQTy_0o1lIn-3Yyvn1CaUr0Q8gr6tTo/view?usp=drive_link,Parent,KA-KERC-Wind-Generic_Tariff-Discussion_Paper-2022,https://kerc.karnataka.gov.in/uploads/media_to_upload1673509190.pdf,114,,Discussion Paper on Deteremination of Generic Tariff for Wind Power Projects for the period FY2023-24 to FY2025-26,KERC Wind Generic Tariff  Discussion Paper 2023,,1 Jan 2023,2023,,,,,Discussion Paper,Wind,Generic Tariff,Draft,KERC,Commission,,,pdf,,,
,,,Karnataka,KA,,KA-KERC-Solar-Generic_Tariff-Discussion_Paper-2023,https://drive.google.com/file/d/1HUbCqgG3Ui4PhDF00dqRk2nYEdrnAhE7/view?usp=drive_link,Parent,KA-KERC-Solar-Generic_Tariff-Discussion_Paper-2023,https://kerc.karnataka.gov.in/uploads/media_to_upload1675839453.pdf,125,,Determination of tariff and norms in respect of Solar Power Projects (including Solar Rooftop Photovoltaic Projects) for FY24,KERC Solar Tariff Discussion Paper 2023,,7 Feb 2023,2023,,,,,Discussion Paper,Solar,Generic Tariff,Draft,KERC,Commission,,,pdf,,,
